target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,elementary,,35094,0,0,0,2.1877464158,53.537076128,0.718579235,1,1,8.393442623,487
0,OTHER,advanced,Corporate,47236,0,1,1,0.6984094982,34.388240138,5.5444045213,0,0,8.1338797814,489
0,OTHER,elementary,,20000,0,0,1,1.2475582437,35.56284153,2.3989969309,0,0,2.7715996706,491
0,2NDFL,elementary,,59260,0,0,1,1.1851030466,37.379474512,2.4918032787,0,1,11.846994536,495
0,OTHER,elementary,Corporate,22023,0,1,,,35.720547945,6.3863013699,,,10.821917808,507
0,2NDFL,elementary,,274379,0,1,1,7.3128360215,38.356164384,0.3559473014,1,1,7.0383561644,517
0,OTHER,elementary,Corporate,95089,0,1,0,,38.393517479,7.6994535519,0,1,9.5907777528,519
0,2NDFL,elementary,,82209,0,0,1,-0.750403226,45.335077476,3.298630137,2,2,0.2657534247,522
0,OTHER,elementary,Corporate,30375,0,0,,,32.972250917,2.8575342466,,,11.117808219,525
0,2NDFL,advanced,,38602,0,0,0,0.5439964158,36.9707014,6.9232876712,1,1,11.884931507,532
0,OTHER,elementary,Corporate,21982,0,1,0,4.6659722222,43.219267909,0.6721311475,0,0,3.7343364024,537
0,OTHER,elementary,VIP,190090,0,1,2,0.8859543011,32.081967213,2.2833969609,0,0,11.017643536,545
0,2NDFL,elementary,,20950,0,0,0,5.5660170251,26.656733288,0.3772812336,0,0,6.4813908227,547
0,OTHER,beginner,Corporate,94128,0,1,0,2.1183691756,36.97311176,3.8739726027,1,1,13.668493151,548
0,OTHER,elementary,Corporate,65911,0,1,1,0.7609767025,36.978808294,2.0692192529,1,1,9.4473014447,550
0,OTHER,elementary,Corporate,42037,0,1,0,1.0573252688,30.682281608,0.2950819672,0,0,3.0439254435,551
0,OTHER,advanced,Corporate,14568,0,1,,,27.611048731,0.2950819672,,,4.4617486339,552
0,OTHER,advanced,Corporate,47557,0,1,,,52.532786885,0.5765027322,,,7.4031289767,554
0,OTHER,elementary,Corporate,74547,0,1,0,0.378203405,42.487671233,1.6082865484,1,1,12.197260274,556
0,OTHER,advanced,Corporate,35082,0,1,0,19.956025986,25.872812336,0.4700726102,0,0,5.7084287746,561
0,OTHER,high,Corporate,39344,0,1,,,26.64109589,9.0359532899,,,6.2438356164,562
0,OTHER,advanced,Corporate,28178,0,1,,,25.587880829,0.8015794595,,,5.5358260349,564
0,OTHER,beginner,,293500,0,0,1,1.5377240143,41.556890486,3.2390822666,0,0,11.36784939,568
0,OTHER,elementary,Corporate,54193,0,1,,,37.292349727,6.4896100007,,,13.108788083,579
0,2NDFL,elementary,,39807,0,0,,,37.756725803,8.4344262295,,,6.4580956658,584
0,OTHER,advanced,,26282,0,0,0,1.6927643369,39.718579235,6.8750056142,,,10.151717943,589
0,OTHER,advanced,Corporate,44190,0,1,0,6.6045922939,30.539486489,9.4216782693,0,0,10.183322105,597
0,OTHER,elementary,Corporate,89354,0,1,,,42.717808219,2.3342465753,,,5.6849315068,598
0,2NDFL,elementary,,12220,0,0,0,6,26.778082192,0.5750430421,2,3,5.5178082192,600
0,2NDFL,advanced,,24419,0,0,0,15.05125448,55.367123288,9.095890411,1,1,9.1945205479,606
0,OTHER,elementary,Corporate,185331,0,1,,,45.742465753,4.8180028445,,,0.6759263418,608
0,OTHER,elementary,Corporate,119970,0,1,,,37.736986301,0.7551613145,,,2.5095890411,611
0,OTHER,advanced,,82000,0,0,1,0.7552419355,47.564383562,3.498630137,1,1,2.5479452055,613
0,OTHER,elementary,,120000,0,0,0,3.2747311828,44.292349727,14.127232577,0,0,11.453259975,623
0,OTHER,elementary,,80304,0,1,0,8.5988799283,31.101369863,0.5671232877,1,1,10.142465753,628
0,OTHER,elementary,,80304,0,1,0,8.5988799283,31.101369863,0.5671232877,1,1,10.142465753,629
0,2NDFL,advanced,,20030,0,0,,,33.244239838,10.643835616,,,9.8383561644,638
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,644
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,645
0,OTHER,high,Corporate,54138,0,1,0,10.606003584,26.780582379,0.5038700502,1,1,6.4655138858,655
0,2NDFL,advanced,,19245,0,0,,,39.791780822,5.8109589041,,,11.120547945,658
0,2NDFL,advanced,,37248,0,0,0,,40.683224792,8.2049180328,0,0,8.853087806,660
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,663
0,2NDFL,elementary,,99443,0,0,1,0.984453405,35.797814208,3.2829178831,0,0,9.6582603488,671
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,672
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,673
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,674
0,OTHER,elementary,Corporate,37881,0,1,,,25.764151508,0.8874391796,,,1.6244254809,675
0,2NDFL,beginner,Corporate,34473,0,1,0,,32.596257205,3.2811887117,,,9.1551613145,677
